 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 1 a 4 anos
Período:1996-2012
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"150405 Mãe do Rio";4;4;1;2;4;3;5;-;6;3;4;2;4;7;2;-;3;54
"150410 Magalhães Barata";-;1;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;5
"150420 Marabá";30;28;23;34;37;35;27;23;30;29;28;21;21;16;21;11;16;430
"150430 Maracanã";1;-;-;1;1;-;-;3;-;1;2;3;1;1;3;-;-;17
"150440 Marapanim";1;1;-;-;2;2;3;2;-;1;2;1;3;2;2;2;1;25
"150442 Marituba";-;9;5;6;5;10;3;8;7;9;11;5;5;3;6;7;7;106
"150445 Medicilândia";-;-;2;-;2;1;2;4;2;3;-;-;1;2;2;1;-;22
"150450 Melgaço";3;-;2;2;2;2;6;3;6;3;4;9;10;2;4;4;2;64
"150460 Mocajuba";1;-;1;3;-;3;4;10;5;3;3;3;1;3;3;2;4;49
"150470 Moju";6;10;5;4;10;6;1;14;6;11;13;11;7;6;5;5;10;130
"150480 Monte Alegre";3;1;3;1;4;-;5;6;3;4;6;8;3;5;6;1;6;65
"150490 Muaná";4;4;1;4;2;2;1;4;4;4;3;3;5;5;6;5;4;61
"150495 Nova Esperança do Piriá";-;-;-;1;4;4;4;2;2;2;2;1;2;-;2;1;2;29
"150497 Nova Ipixuna";-;-;-;2;2;1;1;1;1;2;-;2;4;-;1;-;2;19
"150500 Nova Timboteua";-;-;-;-;-;-;1;1;-;1;1;-;1;-;-;-;1;6
"150503 Novo Progresso";-;-;-;-;2;2;2;2;3;3;1;3;2;1;4;1;1;27
"150506 Novo Repartimento";1;7;5;4;4;2;11;10;8;11;11;7;10;7;3;6;1;108
"150510 Óbidos";-;-;1;-;4;2;1;1;-;1;5;9;3;5;2;-;1;35
"150520 Oeiras do Pará";1;1;-;1;3;2;4;13;5;7;8;4;4;12;8;5;6;84
"150530 Oriximiná";5;-;2;8;8;13;14;8;4;7;7;7;2;8;8;10;3;114
"150540 Ourém";2;1;1;1;-;-;-;-;4;1;2;1;1;-;2;2;-;18
"150543 Ourilândia do Norte";1;-;1;2;3;4;3;1;-;2;-;4;1;2;1;6;5;36
"150548 Pacajá";1;1;1;3;8;5;1;4;4;7;2;4;1;2;5;6;4;59
"150549 Palestina do Pará";1;1;-;-;1;-;2;-;2;-;-;2;-;1;1;-;-;11
"150550 Paragominas";15;16;18;11;20;16;14;8;22;7;13;14;7;9;8;9;4;211
"150553 Parauapebas";5;3;15;15;13;13;11;6;15;11;14;9;11;12;6;10;10;179
"150555 Pau D'Arco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3
"150560 Peixe-Boi";-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;1;6
"150563 Piçarra";-;-;2;1;-;3;4;1;-;2;-;-;-;-;-;-;-;13
"150565 Placas";-;1;-;-;1;3;1;2;1;3;-;-;-;1;2;2;-;17
