 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 1 a 4 anos
Período:1996-2012
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"411710 Nova Londrina";-;3;1;2;-;-;-;-;-;-;-;-;-;1;-;1;-;8
"411720 Nova Olímpia";2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;4
"411725 Nova Prata do Iguaçu";2;-;1;1;2;-;-;1;-;-;-;-;1;-;-;-;1;9
"411721 Nova Santa Bárbara";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"411727 Nova Tebas";1;2;3;-;1;1;-;2;2;2;-;1;-;-;1;-;-;16
"411729 Novo Itacolomi";-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"411730 Ortigueira";3;1;2;4;3;-;3;4;1;4;1;-;1;4;-;-;-;31
"411740 Ourizona";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"411745 Ouro Verde do Oeste";-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;3
"411750 Paiçandu";3;1;-;4;1;1;2;1;-;1;2;-;1;1;1;-;3;22
"411760 Palmas";12;8;6;6;6;8;6;7;10;4;5;2;5;1;5;2;3;96
"411770 Palmeira";4;2;3;3;2;2;1;-;2;-;3;1;1;1;2;-;1;28
"411780 Palmital";2;5;2;2;3;1;-;1;3;-;-;1;2;2;1;-;-;25
"411790 Palotina";1;1;-;2;-;2;1;1;1;2;-;1;2;-;-;2;2;18
"411800 Paraíso do Norte";-;1;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"411810 Paranacity";1;1;-;-;-;-;-;1;1;-;2;-;-;1;-;-;-;7
"411820 Paranaguá";14;9;21;8;8;8;11;9;10;14;8;6;5;7;3;2;3;146
"411830 Paranapoema";-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"411840 Paranavaí";4;2;2;5;4;5;1;4;4;2;3;3;3;4;2;4;1;53
"411845 Pato Bragado";-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;1;-;4
"411850 Pato Branco";-;3;3;2;3;3;2;4;4;-;-;3;3;1;2;2;1;36
"411860 Paula Freitas";1;1;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;5
"411870 Paulo Frontin";1;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;4
"411880 Peabiru";-;-;1;1;1;-;-;1;1;2;-;-;1;-;1;1;-;10
"411885 Perobal";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411890 Pérola";-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;-;1;5
"411900 Pérola d'Oeste";-;-;-;-;1;1;1;1;-;-;1;-;-;1;-;-;-;6
"411910 Piên";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"411915 Pinhais";8;9;9;6;6;5;4;2;5;6;6;5;7;2;1;4;6;91
"411925 Pinhal de São Bento";-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"411920 Pinhalão";1;-;-;1;-;1;1;-;-;-;1;2;-;-;-;-;-;7
"411930 Pinhão";2;7;11;5;9;3;4;4;3;1;1;1;2;4;-;2;3;62
"411940 Piraí do Sul";5;2;1;2;3;2;-;1;-;1;1;2;2;-;1;-;-;23
"411950 Piraquara";7;2;6;3;8;2;5;7;9;6;6;2;2;3;3;6;1;78
"411960 Pitanga";4;5;4;5;3;3;4;2;3;1;3;-;-;-;2;1;3;43
"411965 Pitangueiras";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411970 Planaltina do Paraná";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"411980 Planalto";-;-;1;-;-;-;-;1;-;-;1;-;1;-;2;1;-;7
"411990 Ponta Grossa";18;19;19;23;16;12;15;16;14;9;16;13;16;4;10;6;7;233
"411995 Pontal do Paraná";-;2;-;2;2;2;1;-;-;-;-;-;1;1;1;-;1;13
"412000 Porecatu";-;1;-;1;1;-;1;-;1;-;1;-;1;1;-;-;-;8
"412010 Porto Amazonas";2;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;5
"412015 Porto Barreiro";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2
"412020 Porto Rico";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;3
"412030 Porto Vitória";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"412033 Prado Ferreira";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2
"412035 Pranchita";1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;3
"412040 Presidente Castelo Branco";-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;2
"412050 Primeiro de Maio";-;1;1;-;1;-;1;-;-;-;-;1;-;-;-;-;2;7
"412060 Prudentópolis";6;5;7;1;8;4;4;5;5;2;1;-;3;2;1;-;1;55
"412065 Quarto Centenário";-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;3
"412070 Quatiguá";2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"412080 Quatro Barras";2;1;-;2;-;-;1;-;-;-;2;1;-;2;-;2;1;14
"412085 Quatro Pontes";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2
"412090 Quedas do Iguaçu";1;2;2;6;1;6;1;-;1;3;1;-;-;-;1;3;3;31
"412100 Querência do Norte";3;-;1;2;-;2;-;-;1;1;-;-;1;1;1;-;-;13
"412110 Quinta do Sol";-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;4
"412120 Quitandinha";-;3;-;-;-;1;1;2;1;1;-;-;-;-;-;1;-;10
"412125 Ramilândia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2
"412130 Rancho Alegre";-;1;1;-;-;-;1;-;-;-;-;1;-;1;-;1;-;6
"412135 Rancho Alegre D'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"412140 Realeza";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;3
"412150 Rebouças";3;-;1;-;2;-;-;-;-;-;1;1;2;-;-;1;-;11
"412160 Renascença";2;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;6
"412170 Reserva";2;2;3;2;2;3;1;1;2;-;-;6;3;1;-;2;-;30
"412175 Reserva do Iguaçu";-;3;1;-;3;-;-;2;1;2;-;-;1;-;-;1;-;14
"412180 Ribeirão Claro";2;-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;6
"412190 Ribeirão do Pinhal";2;3;1;4;-;3;1;-;1;1;1;2;1;-;-;-;-;20
"412200 Rio Azul";2;1;-;1;-;1;1;1;-;1;1;1;-;-;-;-;-;10
"412210 Rio Bom";-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;3
"412215 Rio Bonito do Iguaçu";1;-;2;1;3;4;2;1;4;-;-;1;-;-;1;-;1;21
"412217 Rio Branco do Ivaí";-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"412220 Rio Branco do Sul";4;8;7;4;5;7;4;3;2;5;1;5;1;1;3;1;1;62
"412230 Rio Negro";3;3;2;2;1;1;1;2;1;1;1;1;2;-;-;1;-;22
"412240 Rolândia";5;6;1;4;3;-;1;2;1;3;2;-;1;1;1;2;1;34
"412250 Roncador";2;2;-;1;1;-;-;-;1;-;-;-;1;1;-;1;-;10
"412260 Rondon";-;1;3;-;-;-;-;1;2;-;1;-;-;-;-;-;-;8
"412265 Rosário do Ivaí";-;1;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;4
"412270 Sabáudia";-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"412280 Salgado Filho";2;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"412290 Salto do Itararé";1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"412300 Salto do Lontra";1;1;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;6
"412310 Santa Amélia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"412320 Santa Cecília do Pavão";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"412330 Santa Cruz de Monte Castelo";-;2;1;1;1;-;-;-;-;-;1;-;-;1;-;1;-;8
"412340 Santa Fé";-;2;-;-;-;-;-;-;-;-;-;1;-;-;1;2;1;7
"412350 Santa Helena";2;-;3;1;2;1;-;2;2;2;-;-;2;-;1;-;2;20
"412360 Santa Inês";-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"412370 Santa Isabel do Ivaí";1;3;-;-;-;1;1;1;-;1;1;-;1;-;-;-;-;10
"412380 Santa Izabel do Oeste";-;-;2;2;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"412382 Santa Lúcia";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"412385 Santa Maria do Oeste";-;2;1;3;4;-;-;1;-;-;-;-;1;2;-;-;-;14
"412390 Santa Mariana";-;1;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;5
"412395 Santa Mônica";1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"412402 Santa Tereza do Oeste";-;-;2;-;-;-;-;1;2;-;-;-;1;-;1;-;-;7
"412405 Santa Terezinha de Itaipu";1;3;-;2;1;2;-;1;1;1;1;3;-;-;-;1;1;18
"412400 Santana do Itararé";-;1;-;-;-;-;1;1;-;-;1;-;1;-;-;-;-;5
"412410 Santo Antônio da Platina";2;3;5;1;6;3;2;1;3;-;1;2;2;1;2;1;2;37
"412420 Santo Antônio do Caiuá";1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;4
"412430 Santo Antônio do Paraíso";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2
"412440 Santo Antônio do Sudoeste";1;2;2;2;-;3;1;1;2;-;-;-;-;1;-;1;1;17
"412450 Santo Inácio";-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;3
"412460 São Carlos do Ivaí";1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"412470 São Jerônimo da Serra";1;2;1;3;2;-;3;-;2;1;2;-;-;1;1;-;-;19
"412480 São João";-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;1;-;4
"412490 São João do Caiuá";2;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"412500 São João do Ivaí";1;-;-;-;3;1;-;-;-;-;-;1;-;1;2;-;-;9
"412510 São João do Triunfo";-;-;2;1;1;2;1;1;-;-;-;1;-;2;-;-;-;11
"412520 São Jorge d'Oeste";1;1;-;-;1;-;1;-;-;-;-;-;1;-;-;1;-;6
"412530 São Jorge do Ivaí";-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;4
"412535 São Jorge do Patrocínio";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"412540 São José da Boa Vista";-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;3
"412545 São José das Palmeiras";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412550 São José dos Pinhais";12;15;20;11;16;10;13;15;12;15;10;6;12;7;7;9;8;198
"412555 São Manoel do Paraná";-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"412560 São Mateus do Sul";3;1;1;4;2;3;2;2;2;5;3;2;1;1;2;1;1;36
"412570 São Miguel do Iguaçu";1;-;3;-;1;-;1;2;-;2;1;-;1;2;-;-;-;14
"412575 São Pedro do Iguaçu";2;1;2;1;1;-;1;1;-;-;-;-;-;1;-;1;-;11
"412580 São Pedro do Ivaí";-;3;-;-;-;-;2;-;-;-;1;-;-;1;1;-;-;8
"412590 São Pedro do Paraná";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"412600 São Sebastião da Amoreira";-;-;-;1;-;-;-;1;1;1;-;-;-;2;-;-;-;6
"412610 São Tomé";-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;4
"412620 Sapopema";-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;3
"412625 Sarandi";6;7;5;4;-;4;4;-;3;-;3;3;2;3;3;1;1;49
"412627 Saudade do Iguaçu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"412630 Sengés";6;1;1;2;2;1;2;-;3;2;4;-;2;-;1;1;-;28
"412635 Serranópolis do Iguaçu";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"412640 Sertaneja";1;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;4
"412650 Sertanópolis";-;3;1;2;-;-;-;1;-;-;2;-;1;-;-;-;-;10
"412660 Siqueira Campos";-;1;1;-;1;1;-;1;-;-;-;1;-;-;1;-;-;7
"412665 Sulina";-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"412667 Tamarana";-;1;2;3;-;-;-;-;2;1;2;1;-;-;1;-;1;14
"412670 Tamboara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"412680 Tapejara";-;-;-;2;-;-;-;-;-;1;1;1;-;-;-;-;-;5
"412690 Tapira";-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"412700 Teixeira Soares";1;-;-;-;-;-;1;2;-;-;-;1;-;-;1;-;-;6
"412710 Telêmaco Borba";3;1;4;4;1;3;2;4;9;5;2;2;7;4;4;-;5;60
"412720 Terra Boa";2;-;1;1;-;1;-;1;-;-;1;-;-;-;-;-;1;8
"412730 Terra Rica";-;1;2;-;-;1;-;2;-;-;1;1;3;2;1;-;-;14
"412740 Terra Roxa";1;2;-;2;1;1;2;-;1;-;-;-;-;1;1;-;2;14
"412750 Tibagi";5;1;2;2;2;3;1;-;2;2;1;-;-;1;3;-;1;26
"412760 Tijucas do Sul";1;-;2;1;-;-;2;-;2;-;1;-;-;1;1;-;-;11
"412770 Toledo";7;4;8;-;5;8;2;6;2;4;3;4;1;5;4;4;2;69
"412780 Tomazina";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"412785 Três Barras do Paraná";2;1;-;-;-;1;1;2;1;1;1;-;1;-;1;-;-;12
"412788 Tunas do Paraná";-;2;2;-;-;2;1;-;1;3;1;-;-;1;-;-;2;15
"412790 Tuneiras do Oeste";-;1;1;1;-;1;-;-;-;-;-;-;1;-;-;1;-;6
"412795 Tupãssi";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"412796 Turvo";2;4;5;1;2;3;5;1;1;2;3;1;2;-;-;1;1;34
"412800 Ubiratã";2;1;3;1;1;-;1;-;1;-;-;1;1;1;-;1;1;15
"412810 Umuarama";2;3;2;2;5;3;3;4;1;5;3;4;3;3;1;-;2;46
"412820 União da Vitória";3;3;4;11;6;1;-;2;6;3;4;3;1;-;-;1;2;50
"412830 Uniflor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"412840 Uraí";-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;-;-;4
"412853 Ventania";1;1;1;3;-;1;-;-;1;-;1;-;1;2;1;-;1;14
"412855 Vera Cruz do Oeste";2;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;6
"412860 Verê";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"412865 Virmond";-;-;1;1;-;1;-;1;1;-;-;-;-;1;-;1;-;7
"412870 Vitorino";-;-;-;1;2;-;-;1;-;-;1;-;-;-;-;1;-;6
"412850 Wenceslau Braz";4;1;2;2;2;1;2;1;2;-;1;-;-;-;-;1;-;19
"412880 Xambrê";-;1;1;-;1;-;-;-;-;2;-;-;-;-;-;-;-;5
"410000 Município ignorado - PR";-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;3
"420005 Abdon Batista";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;2
"420010 Abelardo Luz";3;1;1;-;1;2;-;1;1;-;1;-;1;-;1;2;-;15
"420020 Agrolândia";2;1;-;1;3;-;-;-;1;1;-;-;-;-;-;1;-;10
"420030 Agronômica";1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;3
"420040 Água Doce";1;1;-;-;1;1;1;-;1;1;1;-;-;-;-;-;1;9
"420050 Águas de Chapecó";1;3;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;7
"420055 Águas Frias";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420060 Águas Mornas";-;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"420070 Alfredo Wagner";1;-;1;-;2;-;-;-;1;1;1;-;-;-;-;-;1;8
"420075 Alto Bela Vista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"420080 Anchieta";-;-;-;1;-;-;-;2;1;-;-;-;1;-;-;-;-;5
"420090 Angelina";-;-;-;1;1;-;-;1;2;-;-;-;-;-;-;-;-;5
"420100 Anita Garibaldi";-;-;1;2;-;1;-;-;-;-;1;-;-;-;-;-;-;5
"420110 Anitápolis";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420120 Antônio Carlos";-;-;-;1;-;1;-;-;-;-;1;-;1;-;-;-;1;5
"420125 Apiúna";-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;1;4
"420127 Arabutã";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"420130 Araquari";1;-;1;-;2;-;-;1;1;3;5;3;1;2;-;-;-;20
"420140 Araranguá";6;2;4;2;1;2;1;4;4;4;4;-;3;1;1;-;1;40
"420150 Armazém";-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
"420160 Arroio Trinta";-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;-;-;4
"420170 Ascurra";-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;3
"420180 Atalanta";1;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;4
"420190 Aurora";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;2
"420195 Balneário Arroio do Silva";-;-;1;-;-;-;-;-;1;-;1;-;1;1;-;1;-;6
"420200 Balneário Camboriú";2;4;6;3;9;2;4;4;3;2;4;2;2;3;1;-;1;52
"420207 Balneário Gaivota";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"421280 Balneário Piçarras";-;-;1;-;4;-;-;-;-;-;-;1;-;-;-;2;1;9
"420210 Barra Velha";2;-;2;1;-;1;3;-;-;2;-;1;-;1;2;-;2;17
"420213 Bela Vista do Toldo";-;2;-;-;1;-;-;-;1;-;-;1;1;-;1;1;-;8
"420215 Belmonte";1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"420220 Benedito Novo";1;-;3;-;1;-;-;-;-;-;-;1;-;2;-;-;-;8
"420230 Biguaçu";4;4;4;4;3;1;1;1;2;4;2;3;1;2;1;-;-;37
"420240 Blumenau";8;8;8;10;3;3;10;7;5;8;7;6;10;3;6;7;4;113
"420243 Bocaina do Sul";-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"420250 Bom Jardim da Serra";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"420253 Bom Jesus";-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"420260 Bom Retiro";2;1;1;-;-;-;1;-;-;-;-;-;-;3;-;-;-;8
"420245 Bombinhas";1;-;-;-;-;-;-;-;-;2;1;-;1;-;1;-;-;6
"420270 Botuverá";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"420280 Braço do Norte";3;3;3;1;1;-;1;2;1;1;-;-;-;1;-;1;1;19
"420285 Braço do Trombudo";-;-;-;-;1;-;1;1;-;-;-;-;-;-;1;-;-;4
"420287 Brunópolis";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;2
"420290 Brusque";3;3;2;6;3;1;1;3;2;2;3;1;2;3;-;2;2;39
"420300 Caçador";10;7;9;8;2;1;4;2;4;3;2;4;5;5;2;3;3;74
"420310 Caibi";1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"420315 Calmon";-;-;2;-;-;2;-;-;-;2;-;-;-;-;-;-;-;6
"420320 Camboriú";2;7;7;2;2;1;5;3;5;-;1;3;1;-;-;-;2;41
"420330 Campo Alegre";2;1;-;1;1;-;1;-;-;-;2;1;-;-;1;1;-;11
"420340 Campo Belo do Sul";1;2;2;2;-;2;2;-;-;-;-;-;-;-;-;-;1;12
"420350 Campo Erê";3;3;1;1;-;1;1;2;-;1;2;1;1;-;-;-;1;18
"420360 Campos Novos";1;6;3;1;2;1;-;3;3;2;2;-;-;1;-;1;-;26
"420370 Canelinha";1;-;-;1;-;2;-;-;-;-;-;-;-;-;-;2;-;6
"420380 Canoinhas";10;6;10;6;8;4;3;5;5;4;4;-;1;2;-;1;3;72
"420325 Capão Alto";-;-;-;-;-;-;1;-;-;-;3;1;-;-;-;-;-;5
"420390 Capinzal";-;2;-;1;1;-;-;1;2;-;2;-;-;-;1;1;1;12
"420395 Capivari de Baixo";-;-;1;2;-;-;3;2;1;-;-;-;1;1;2;1;2;16
"420400 Catanduvas";-;-;1;-;1;1;-;1;-;-;-;1;-;1;2;-;-;8
"420410 Caxambu do Sul";1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"420415 Celso Ramos";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"420417 Cerro Negro";-;-;2;-;-;2;-;2;-;-;-;-;-;-;-;-;-;6
"420420 Chapecó";8;11;5;11;7;11;5;9;5;6;5;8;4;6;7;4;4;116
"420425 Cocal do Sul";-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;2;6
"420430 Concórdia";5;8;4;2;5;4;4;3;2;1;1;1;-;2;1;2;4;49
"420440 Coronel Freitas";-;-;-;-;2;1;-;-;1;-;-;-;-;-;1;-;-;5
"420455 Correia Pinto";2;1;-;2;1;1;-;-;-;-;2;-;1;-;1;-;-;11
"420450 Corupá";-;-;-;1;1;-;-;1;-;-;-;1;-;-;1;-;-;5
"420460 Criciúma";10;13;4;3;4;13;3;4;4;5;5;4;7;2;12;6;6;105
"420470 Cunha Porã";1;-;2;-;1;-;-;-;-;-;1;1;-;-;-;-;1;7
"420480 Curitibanos";1;4;2;3;4;3;1;2;3;3;3;2;2;2;4;1;4;44
"420490 Descanso";-;1;1;-;-;-;1;-;-;-;1;3;2;-;-;1;-;10
"420500 Dionísio Cerqueira";2;2;-;1;-;3;3;1;1;1;-;3;1;1;-;-;-;19
"420510 Dona Emma";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420515 Doutor Pedrinho";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420517 Entre Rios";-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2
"420519 Ermo";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"420530 Faxinal dos Guedes";2;1;2;-;-;-;-;3;-;-;-;-;-;-;-;-;-;8
"420540 Florianópolis";19;17;20;13;11;13;8;10;11;9;10;5;8;2;5;7;8;176
"420543 Formosa do Sul";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"420545 Forquilhinha";-;1;-;-;-;1;-;1;-;2;2;-;1;-;-;1;-;9
"420550 Fraiburgo";3;4;5;3;4;4;2;-;-;1;1;1;4;1;1;2;2;38
"420555 Frei Rogério";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2
"420560 Galvão";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"420570 Garopaba";-;2;2;-;-;-;-;-;1;-;-;1;-;1;1;-;-;8
"420580 Garuva";-;3;-;1;-;1;-;-;1;-;-;2;-;1;-;-;-;9
"420590 Gaspar";3;1;1;1;3;-;2;2;1;2;2;1;3;1;-;-;2;25
"420600 Governador Celso Ramos";1;-;-;1;-;-;-;2;-;-;1;2;-;-;1;-;-;8
"420610 Grão Pará";1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;3
"420620 Gravatal";2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;6
"420630 Guabiruba";1;-;-;1;1;1;-;-;1;-;1;-;-;-;1;-;-;7
"420640 Guaraciaba";-;1;-;-;-;1;2;-;-;-;-;-;1;-;-;-;-;5
"420650 Guaramirim";2;1;-;1;-;1;-;1;-;2;-;-;1;-;1;-;-;10
"420660 Guarujá do Sul";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"420665 Guatambú";-;2;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;5
"420670 Herval d'Oeste";-;-;-;-;1;3;3;-;2;-;1;-;-;-;-;1;1;12
"420675 Ibiam";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;2
"420680 Ibicaré";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420690 Ibirama";1;-;-;1;1;-;-;-;-;-;2;-;-;-;-;-;-;5
"420700 Içara";3;1;1;2;2;2;-;1;-;2;3;2;2;2;3;1;1;28
"420710 Ilhota";1;1;-;1;-;-;1;1;-;-;-;-;2;-;2;-;-;9
"420720 Imaruí";1;-;-;1;-;1;1;1;1;-;-;-;-;-;-;1;-;7
"420730 Imbituba";1;1;1;-;2;-;-;4;-;1;-;-;-;1;2;1;-;14
"420740 Imbuia";1;1;-;1;1;-;-;1;-;-;-;-;-;1;-;-;-;6
"420750 Indaial";1;3;-;1;-;1;3;2;1;-;2;-;3;-;-;1;1;19
"420757 Iomerê";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"420760 Ipira";-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"420765 Iporã do Oeste";-;-;-;-;-;-;-;-;1;-;1;-;-;1;2;-;-;5
"420768 Ipuaçu";-;-;-;-;-;-;1;1;-;-;-;1;-;2;-;2;3;10
"420770 Ipumirim";-;-;1;-;-;-;1;-;1;-;-;-;-;1;1;-;-;5
"420775 Iraceminha";-;-;1;-;-;-;2;3;-;-;1;-;-;-;1;-;-;8
"420780 Irani";2;1;-;-;1;-;1;-;-;-;3;-;-;1;-;-;1;10
"420785 Irati";-;1;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;4
"420790 Irineópolis";-;1;3;1;-;3;1;2;3;-;-;-;-;-;1;3;1;19
"420800 Itá";1;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;1;5
"420810 Itaiópolis";2;3;1;1;1;3;1;-;2;1;-;-;-;-;2;3;1;21
"420820 Itajaí";7;10;11;11;10;13;7;5;10;8;5;4;9;8;3;5;8;134
"420830 Itapema";3;1;2;-;7;-;1;2;1;1;2;1;3;-;1;1;3;29
"420840 Itapiranga";1;1;5;2;-;1;-;-;2;-;-;1;-;-;-;-;-;13
"420845 Itapoá";1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"420850 Ituporanga";-;1;1;-;-;2;-;1;1;1;-;-;-;5;-;2;-;14
"420860 Jaborá";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"420870 Jacinto Machado";1;1;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;5
"420880 Jaguaruna";2;-;-;2;-;-;-;1;1;1;-;1;1;1;1;-;-;11
"420890 Jaraguá do Sul";6;4;9;5;8;4;2;7;2;2;2;3;3;7;4;3;1;72
"420895 Jardinópolis";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"420900 Joaçaba";3;1;5;2;1;-;1;-;-;2;-;-;-;-;1;1;1;18
